LogIdentifierID|DurationCommercial|SumOfDurationInSeconds|CommercialRatio|Undertaking_Name
CFRE|1012069|3321857|0.30466964712809735|Corus Television Limited Partnership, regina (CFRE-DT)
CFKS|452689|467095|0.9691583082670548|V Interactions inc., sherbrooke (CFKS-DT)
CFPL|1151246|3243566|0.3549321949977278|Bell Media Inc., london (CFPL-DT)
CFTK|879355|2855520|0.30794916512579146|Bell Media Inc. (OBCI), terrace (CFTK-TV)
CBUFT|405592|3087607|0.1313612775200989|Société Radio-Canada, vancouver (CBUFT-DT)
CFJP|467425|480037|0.9737270252084735|V Interactions inc., montréal (CFJP-DT)
CBXFT|401492|3083507|0.13020628784043622|Société Radio-Canada, edmonton (CBXFT-DT)
CFQC|912810|3319310|0.274999924683142|Bell Media Inc., saskatoon (CFQC-DT)
CFKM|452900|468175|0.9673733112618145|V Interactions inc., trois-rivieres (CFKM-DT)
CBWT|536659|3216529|0.1668441354018571|Canadian Broadcasting Corporation, winnipeg (CBWT-DT)
CFCN|853676|3329051|0.25643223849679686|Bell Media Inc., calgary (CFCN-DT)
CBVT|428352|3106752|0.13787775786416168|Société Radio-Canada, quebec (CBVT-DT)
CFER|765392|3240182|0.236218829683024|TVA Group Inc., rimouski (CFER-DT)
CBUT|548617|3228337|0.16993795876948412|Canadian Broadcasting Corporation, vancouver (CBUT-DT)
CFCNL|854595|3329280|0.25669063581314877|Bell Media Inc., lethbridge (CFCN-DT-5)
CFRN6|858846|3336378|0.25741867378336625|Bell Media Inc., red deer (CFRN-TV-6)
CFJC|575485|2918305|0.19719837371350835|Jim Pattison Broadcast Group Limited Partnership, kamloops (CFJC-TV)
CFTO|926890|3314121|0.27967898577028416|Bell Media Inc., toronto (CFTO-DT)
CBRT|547638|3227418|0.1696830097619831|Canadian Broadcasting Corporation, calgary (CBRT-DT)
CFSK|1005595|3315758|0.30327756126954986|Corus Television Limited Partnership, saskatoon (CFSK-DT)
CBOT|542628|3222558|0.16838424630371276|Canadian Broadcasting Corporation, ottawa (CBOT-DT)
CFHD|379771|3177873|0.11950477567857494|4517466 Canada Inc., montréal, qc (CFHD-DT)
CBWFT|405922|3087937|0.1314541067385766|Société Radio-Canada, winnipeg (CBWFT-DT)
CFEM|464420|2922610|0.1589059094439559|RNC MEDIA Inc., rouyn-noranda (CFEM-DT)
COTT|685280|3366389|0.2035653039503159|Cottage Life (formerly Bold)
CBOFT|430362|3108942|0.13842715624800978|Société Radio-Canada, ottawa (CBOFT-DT)
CFRN|851021|3328253|0.2556960062831762|Bell Media Inc., edmonton (CFRN-DT)
